* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:18:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test HR
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
160.766613, 111.459, 159.5088
161.132824, 111.419, 159.2248
161.499035, 111.376, 158.9356
161.865246, 111.332, 158.6415
162.231457, 111.292, 158.3405
162.597668, 111.256, 158.0306
162.963879, 111.224, 157.7145
163.330090, 111.195, 157.4032
163.696301, 111.166, 157.1133
164.062512, 111.136, 156.8595
164.428723, 111.105, 156.6461
164.794934, 111.074, 156.4645
165.161145, 111.042, 156.2973
165.527356, 111.010, 156.1262
165.893567, 110.976, 155.9395
166.259778, 110.941, 155.7347
166.625988, 110.906, 155.5165
166.992199, 110.872, 155.2941
167.358410, 110.840, 155.0780
167.724621, 110.810, 154.8784
168.090832, 110.782, 154.7012
168.457043, 110.758, 154.5454
168.823254, 110.737, 154.4022
169.189465, 110.717, 154.2586
169.555676, 110.696, 154.1051
169.921887, 110.672, 153.9417
170.288098, 110.646, 153.7780
170.654309, 110.619, 153.6266
171.020520, 110.595, 153.4937
171.386731, 110.576, 153.3742
171.752942, 110.564, 153.2550
172.119153, 110.557, 153.1257
172.485364, 110.551, 152.9871
172.851575, 110.544, 152.8514
173.217786, 110.533, 152.7343
173.583997, 110.521, 152.6431
173.950208, 110.509, 152.5709
174.316419, 110.497, 152.5008
174.682630, 110.486, 152.4172
175.048841, 110.475, 152.3152
175.415052, 110.463, 152.2016
175.781263, 110.451, 152.0885
176.147474, 110.441, 151.9827
176.513685, 110.436, 151.8816
176.879896, 110.434, 151.7766
177.246107, 110.435, 151.6614
177.612318, 110.437, 151.5374
177.978528, 110.438, 151.4123
178.344739, 110.438, 151.2924
178.710950, 110.440, 151.1765
179.077161, 110.445, 151.0552
179.443372, 110.451, 150.9183
179.809583, 110.458, 150.7627
180.175794, 110.464, 150.5959
180.542005, 110.469, 150.4320
180.908216, 110.474, 150.2827
181.274427, 110.481, 150.1503
181.640638, 110.490, 150.0274
182.006849, 110.502, 149.9026
182.373060, 110.513, 149.7684
182.739271, 110.524, 149.6238
183.105482, 110.533, 149.4730
183.471693, 110.540, 149.3197
183.837904, 110.547, 149.1631
184.204115, 110.555, 148.9974
184.570326, 110.564, 148.8163
184.936537, 110.574, 148.6169
185.302748, 110.584, 148.4019
185.668959, 110.594, 148.1783
186.035170, 110.605, 147.9536
186.401381, 110.618, 147.7317
186.767592, 110.632, 147.5121
187.133803, 110.648, 147.2915
187.500014, 110.665, 147.0668
187.866225, 110.681, 146.8379
188.232436, 110.696, 146.6068
188.598647, 110.710, 146.3755
188.964857, 110.722, 146.1432
189.331068, 110.733, 145.9055
189.697279, 110.744, 145.6570
190.063490, 110.754, 145.3942
190.429701, 110.763, 145.1179
190.795912, 110.771, 144.8322
191.162123, 110.780, 144.5416
191.528334, 110.790, 144.2480
191.894545, 110.801, 143.9507
192.260756, 110.813, 143.6476
192.626967, 110.826, 143.3388
192.993178, 110.837, 143.0271
193.359389, 110.847, 142.7166
193.725600, 110.856, 142.4099
194.091811, 110.863, 142.1065
194.458022, 110.870, 141.8033
194.824233, 110.877, 141.4965
195.190444, 110.884, 141.1832
195.556655, 110.890, 140.8619
195.922866, 110.896, 140.5327
196.289077, 110.902, 140.1964
196.655288, 110.907, 139.8548
197.021499, 110.911, 139.5105
197.387710, 110.914, 139.1660
197.753921, 110.917, 138.8220
198.120132, 110.918, 138.4768
198.486343, 110.920, 138.1270
198.852554, 110.921, 137.7696
199.218765, 110.921, 137.4048
199.584976, 110.920, 137.0359
199.951187, 110.918, 136.6675
200.317397, 110.916, 136.3022
200.683608, 110.915, 135.9395
201.049819, 110.914, 135.5765
201.416030, 110.912, 135.2114
201.782241, 110.909, 134.8456
202.148452, 110.903, 134.4826
202.514663, 110.895, 134.1256
202.880874, 110.886, 133.7732
203.247085, 110.877, 133.4191
203.613296, 110.867, 133.0558
203.979507, 110.857, 132.6793
204.345718, 110.845, 132.2922
204.711929, 110.833, 131.9025
205.078140, 110.821, 131.5180
205.444351, 110.810, 131.1417
205.810562, 110.801, 130.7709
206.176773, 110.792, 130.4012
206.542984, 110.783, 130.0318
206.909195, 110.771, 129.6667
207.275406, 110.756, 129.3119
207.641617, 110.739, 128.9684
208.007828, 110.721, 128.6300
208.374039, 110.703, 128.2856
208.740250, 110.684, 127.9271
209.106461, 110.663, 127.5554
209.472672, 110.642, 127.1798
209.838883, 110.620, 126.8111
210.205094, 110.600, 126.4536
210.571305, 110.582, 126.1029
210.937516, 110.566, 125.7506
211.303726, 110.550, 125.3934
211.669937, 110.530, 125.0369
212.036148, 110.506, 124.6924
212.402359, 110.479, 124.3679
212.768570, 110.450, 124.0611
213.134781, 110.422, 123.7599
213.500992, 110.394, 123.4496
213.867203, 110.366, 123.1230
214.233414, 110.338, 122.7836
214.599625, 110.309, 122.4434
214.965836, 110.279, 122.1143
215.332047, 110.251, 121.8020
215.698258, 110.224, 121.5045
216.064469, 110.198, 121.2155
216.430680, 110.172, 120.9288
216.796891, 110.145, 120.6418
217.163102, 110.116, 120.3550
217.529313, 110.085, 120.0700
217.895524, 110.052, 119.7874
218.261735, 110.018, 119.5067
218.627946, 109.985, 119.2263
218.994157, 109.953, 118.9454
219.360368, 109.921, 118.6652
219.726579, 109.889, 118.3897
220.092790, 109.856, 118.1248
220.459001, 109.823, 117.8756
220.825212, 109.791, 117.6439
221.191423, 109.758, 117.4260
221.557634, 109.727, 117.2138
221.923845, 109.696, 116.9982
222.290056, 109.666, 116.7739
222.656266, 109.634, 116.5420
223.022477, 109.601, 116.3098
223.388688, 109.566, 116.0870
223.754899, 109.532, 115.8808
224.121110, 109.498, 115.6918
224.487321, 109.466, 115.5139
224.853532, 109.435, 115.3377
225.219743, 109.403, 115.1569
225.585954, 109.369, 114.9722
225.952165, 109.333, 114.7915
226.318376, 109.295, 114.6245
226.684587, 109.256, 114.4753
227.050798, 109.221, 114.3381
227.417009, 109.189, 114.2010
227.783220, 109.159, 114.0539
228.149431, 109.130, 113.8975
228.515642, 109.099, 113.7433
228.881853, 109.066, 113.6067
229.248064, 109.034, 113.4944
229.614275, 109.004, 113.3995
229.980486, 108.977, 113.3057
230.346697, 108.950, 113.1995
230.712908, 108.923, 113.0808
231.079119, 108.894, 112.9625
231.445330, 108.863, 112.8602
231.811541, 108.834, 112.7798
232.177752, 108.809, 112.7127
232.543963, 108.788, 112.6427
232.910174, 108.768, 112.5587
233.276385, 108.746, 112.4632
233.642595, 108.722, 112.3697
234.008806, 108.696, 112.2922
234.375017, 108.670, 112.2342
234.741228, 108.646, 112.1860
235.107439, 108.626, 112.1322
235.473650, 108.609, 112.0619
235.839861, 108.592, 111.9759
236.206072, 108.574, 111.8847
236.572283, 108.556, 111.8005
236.938494, 108.538, 111.7300
237.304705, 108.522, 111.6718
237.670916, 108.506, 111.6202
238.037127, 108.491, 111.5708
238.403338, 108.476, 111.5224
238.769549, 108.462, 111.4753
239.135760, 108.449, 111.4275
239.501971, 108.437, 111.3732
239.868182, 108.428, 111.3072
240.234393, 108.418, 111.2301
240.600604, 108.408, 111.1510
240.966815, 108.397, 111.0826
241.333026, 108.386, 111.0318
241.699237, 108.379, 110.9935
242.065448, 108.373, 110.9529
242.431659, 108.369, 110.8961
242.797870, 108.363, 110.8210
243.164081, 108.354, 110.7386
243.530292, 108.343, 110.6637
243.896503, 108.333, 110.6014
244.262714, 108.327, 110.5431
244.628925, 108.325, 110.4731
244.995135, 108.323, 110.3840
245.361346, 108.321, 110.2836
245.727557, 108.317, 110.1903
246.093768, 108.311, 110.1173
246.459979, 108.307, 110.0620
246.826190, 108.306, 110.0075
247.192401, 108.307, 109.9367
247.558612, 108.307, 109.8448
247.924823, 108.306, 109.7404
248.291034, 108.305, 109.6343
248.657245, 108.305, 109.5286
249.023456, 108.308, 109.4152
249.389667, 108.313, 109.2858
249.755878, 108.316, 109.1426
250.122089, 108.317, 109.0001
250.488300, 108.315, 108.8741
250.854511, 108.312, 108.7697
251.220722, 108.311, 108.6770
251.586933, 108.311, 108.5792
251.953144, 108.312, 108.4649
252.319355, 108.312, 108.3338
252.685566, 108.311, 108.1920
253.051777, 108.311, 108.0439
253.417988, 108.311, 107.8889
253.784199, 108.312, 107.7258
254.150410, 108.312, 107.5581
254.516621, 108.311, 107.3952
254.882832, 108.309, 107.2456
255.249043, 108.307, 107.1096
255.615254, 108.305, 106.9785
255.981465, 108.304, 106.8410
256.347675, 108.303, 106.6915
256.713886, 108.301, 106.5319
257.080097, 108.298, 106.3666
257.446308, 108.297, 106.1967
257.812519, 108.297, 106.0187
258.178730, 108.297, 105.8293
258.544941, 108.298, 105.6307
258.911152, 108.298, 105.4298
259.277363, 108.296, 105.2327
259.643574, 108.294, 105.0404
260.009785, 108.290, 104.8490
260.375996, 108.285, 104.6561
260.742207, 108.279, 104.4641
261.108418, 108.271, 104.2776
261.474629, 108.264, 104.0960
261.840840, 108.259, 103.9096
262.207051, 108.257, 103.7055
262.573262, 108.254, 103.4785
262.939473, 108.248, 103.2382
263.305684, 108.239, 103.0042
263.671895, 108.229, 102.7922
264.038106, 108.219, 102.6010
264.404317, 108.212, 102.4136
264.770528, 108.207, 102.2103
265.136739, 108.200, 101.9850
265.502950, 108.189, 101.7496
265.869161, 108.175, 101.5246
266.235372, 108.160, 101.3217
266.601583, 108.148, 101.1357
266.967794, 108.139, 100.9495
267.334004, 108.131, 100.7491
267.700215, 108.123, 100.5349
268.066426, 108.112, 100.3187
268.432637, 108.099, 100.1116
268.798848, 108.086, 99.9120
269.165059, 108.074, 99.7065
269.531270, 108.062, 99.4811
269.897481, 108.048, 99.2350
270.263692, 108.031, 98.9826
