* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test Real Dec 10
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
104.003913, 107.479, 116.4037
104.370124, 107.496, 114.9132
104.736335, 107.505, 113.6255
105.102546, 107.525, 112.4758
105.468757, 107.566, 111.3350
105.834968, 107.623, 110.0831
106.201179, 107.687, 108.6705
106.567390, 107.747, 107.1282
106.933601, 107.802, 105.5304
107.299812, 107.854, 103.9418
107.666023, 107.910, 102.3859
108.032234, 107.971, 100.8501
108.398445, 108.030, 99.3157
108.764656, 108.081, 97.7864
109.130867, 108.114, 96.2944
109.497078, 108.129, 94.8829
109.863289, 108.132, 93.5784
110.229500, 108.132, 92.3727
110.595710, 108.136, 91.2247
110.961921, 108.150, 90.0798
111.328132, 108.173, 88.8959
111.694343, 108.201, 87.6603
112.060554, 108.232, 86.3915
112.426765, 108.264, 85.1265
112.792976, 108.298, 83.9003
113.159187, 108.337, 82.7281
113.525398, 108.383, 81.5969
113.891609, 108.437, 80.4700
114.257820, 108.495, 79.3051
114.624031, 108.549, 78.0743
114.990242, 108.592, 76.7778
115.356453, 108.620, 75.4428
115.722664, 108.634, 74.1105
116.088875, 108.637, 72.8167
116.455086, 108.636, 71.5770
116.821297, 108.637, 70.3839
117.187508, 108.641, 69.2162
117.553719, 108.649, 68.0547
117.919930, 108.656, 66.8940
118.286141, 108.661, 65.7438
118.652352, 108.662, 64.6197
119.018563, 108.662, 63.5310
119.384774, 108.662, 62.4741
119.750985, 108.665, 61.4349
120.117196, 108.671, 60.4006
120.483407, 108.678, 59.3696
120.849618, 108.685, 58.3554
121.215829, 108.691, 57.3798
121.582040, 108.697, 56.4595
121.948250, 108.707, 55.5967
122.314461, 108.723, 54.7773
122.680672, 108.743, 53.9790
123.046883, 108.765, 53.1818
123.413094, 108.789, 52.3762
123.779305, 108.811, 51.5624
124.145516, 108.833, 50.7443
124.511727, 108.855, 49.9220
124.877938, 108.880, 49.0895
125.244149, 108.909, 48.2363
125.610360, 108.940, 47.3528
125.976571, 108.973, 46.4355
126.342782, 109.004, 45.4877
126.708993, 109.033, 44.5192
127.075204, 109.057, 43.5419
127.441415, 109.077, 42.5670
127.807626, 109.092, 41.6027
128.173837, 109.104, 40.6548
128.540048, 109.112, 39.7285
128.906259, 109.117, 38.8289
129.272470, 109.122, 37.9609
129.638681, 109.127, 37.1263
130.004892, 109.135, 36.3201
130.371103, 109.149, 35.5284
130.737314, 109.169, 34.7312
131.103525, 109.195, 33.9080
131.469736, 109.223, 33.0452
131.835947, 109.251, 32.1420
132.202158, 109.273, 31.2121
132.568369, 109.290, 30.2792
132.934579, 109.299, 29.3691
133.300790, 109.305, 28.5003
133.667001, 109.309, 27.6769
134.033212, 109.315, 26.8868
134.399423, 109.324, 26.1069
134.765634, 109.336, 25.3126
135.131845, 109.350, 24.4868
135.498056, 109.362, 23.6238
135.864267, 109.372, 22.7285
136.230478, 109.378, 21.8112
136.596689, 109.380, 20.8839
136.962900, 109.378, 19.9592
137.329111, 109.372, 19.0494
137.695322, 109.364, 18.1653
138.061533, 109.353, 17.3132
138.427744, 109.341, 16.4938
138.793955, 109.329, 15.7052
139.160166, 109.317, 14.9468
139.526377, 109.307, 14.2211
139.892588, 109.300, 13.5280
140.258799, 109.301, 12.8542
140.625010, 109.311, 12.1673
140.991221, 109.330, 11.4240
141.357432, 109.350, 10.5912
141.723643, 109.363, 9.6678
142.089854, 109.362, 8.6900
142.456065, 109.344, 7.7154
142.822276, 109.313, 6.7944
143.188487, 109.277, 5.9464
143.554698, 109.242, 5.1567
143.920909, 109.210, 4.3951
144.287119, 109.180, 3.6411
144.653330, 109.150, 2.8984
145.019541, 109.117, 2.1868
145.385752, 109.084, 1.5226
145.751963, 109.055, 0.9034
146.118174, 109.030, 0.3085
146.484385, 109.010, -0.2878
146.850596, 108.992, -0.9017
147.216807, 108.973, -1.5372
147.583018, 108.952, -2.1911
147.949229, 108.928, -2.8594
148.315440, 108.901, -3.5366
148.681651, 108.871, -4.2098
149.047862, 108.837, -4.8584
149.414073, 108.801, -5.4617
149.780284, 108.769, -6.0125
150.146495, 108.742, -6.5240
150.512706, 108.722, -7.0235
150.878917, 108.706, -7.5339
151.245128, 108.690, -8.0598
151.611339, 108.672, -8.5867
151.977550, 108.652, -9.0952
152.343761, 108.635, -9.5773
152.709972, 108.622, -10.0432
153.076183, 108.617, -10.5135
153.442394, 108.616, -11.0052
153.808605, 108.619, -11.5214
154.174816, 108.624, -12.0554
154.541027, 108.630, -12.6011
154.907238, 108.640, -13.1628
155.273448, 108.653, -13.7546
155.639659, 108.667, -14.3924
156.005870, 108.680, -15.0837
156.372081, 108.688, -15.8237
156.738292, 108.690, -16.5983
157.104503, 108.686, -17.3929
157.470714, 108.675, -18.1973
157.836925, 108.659, -19.0069
158.203136, 108.635, -19.8177
158.569347, 108.604, -20.6202
158.935558, 108.563, -21.3963
159.301769, 108.514, -22.1221
159.667980, 108.459, -22.7767
160.034191, 108.403, -23.3524
160.400402, 108.353, -23.8625
160.766613, 108.312, -24.3393
161.132824, 108.280, -24.8234
161.499035, 108.255, -25.3478
161.865246, 108.230, -25.9253
162.231457, 108.201, -26.5460
162.597668, 108.163, -27.1837
162.963879, 108.117, -27.8078
163.330090, 108.062, -28.3924
163.696301, 108.001, -28.9205
164.062512, 107.936, -29.3824
164.428723, 107.870, -29.7723
164.794934, 107.806, -30.0885
165.161145, 107.748, -30.3369
165.527356, 107.701, -30.5350
165.893567, 107.668, -30.7124
166.259778, 107.650, -30.9050
166.625988, 107.644, -31.1459
166.992199, 107.648, -31.4567
167.358410, 107.656, -31.8456
167.724621, 107.664, -32.3085
168.090832, 107.668, -32.8327
168.457043, 107.666, -33.4000
168.823254, 107.656, -33.9893
169.189465, 107.637, -34.5819
169.555676, 107.612, -35.1667
169.921887, 107.581, -35.7427
170.288098, 107.543, -36.3126
170.654309, 107.498, -36.8694
171.020520, 107.442, -37.3854
171.386731, 107.380, -37.8176
171.752942, 107.319, -38.1325
172.119153, 107.271, -38.3405
172.485364, 107.244, -38.5094
172.851575, 107.239, -38.7404
173.217786, 107.244, -39.1100
173.583997, 107.241, -39.6204
173.950208, 107.216, -40.1931
174.316419, 107.169, -40.7119
174.682630, 107.108, -41.0885
175.048841, 107.050, -41.3090
175.415052, 107.006, -41.4323
175.781263, 106.978, -41.5411
176.147474, 106.961, -41.6855
176.513685, 106.947, -41.8642
176.879896, 106.936, -42.0543
177.246107, 106.933, -42.2542
177.612318, 106.938, -42.4987
177.978528, 106.948, -42.8299
178.344739, 106.951, -43.2499
178.710950, 106.940, -43.7003
179.077161, 106.913, -44.0880
179.443372, 106.881, -44.3437
179.809583, 106.861, -44.4709
180.175794, 106.862, -44.5508
180.542005, 106.887, -44.6966
180.908216, 106.925, -44.9928
181.274427, 106.963, -45.4623
181.640638, 106.990, -46.0757
182.006849, 107.001, -46.7815
182.373060, 106.993, -47.5253
182.739271, 106.968, -48.2516
183.105482, 106.926, -48.8986
183.471693, 106.874, -49.4062
183.837904, 106.824, -49.7446
184.204115, 106.788, -49.9423
184.570326, 106.772, -50.0851
184.936537, 106.772, -50.2709
185.302748, 106.775, -50.5476
185.668959, 106.769, -50.8824
186.035170, 106.750, -51.1912
186.401381, 106.731, -51.4098
186.767592, 106.729, -51.5591
187.133803, 106.751, -51.7501
187.500014, 106.793, -52.1141
187.866225, 106.832, -52.7083
188.232436, 106.844, -53.4677
188.598647, 106.822, -54.2387
188.964857, 106.772, -54.8630
189.331068, 106.717, -55.2646
189.697279, 106.683, -55.4884
190.063490, 106.681, -55.6656
190.429701, 106.708, -55.9339
190.795912, 106.753, -56.3732
191.162123, 106.801, -56.9978
191.528334, 106.841, -57.7867
191.894545, 106.863, -58.7089
192.260756, 106.858, -59.7181
192.626967, 106.817, -60.7330
192.993178, 106.737, -61.6355
193.359389, 106.631, -62.3082
193.725600, 106.518, -62.6964
194.091811, 106.423, -62.8531
194.458022, 106.360, -62.9213
194.824233, 106.323, -63.0510
195.190444, 106.298, -63.3140
195.556655, 106.269, -63.6843
195.922866, 106.231, -64.0898
196.289077, 106.188, -64.4850
196.655288, 106.145, -64.8799
197.021499, 106.100, -65.3079
197.387710, 106.043, -65.7651
197.753921, 105.969, -66.1815
198.120132, 105.883, -66.4573
198.486343, 105.804, -66.5400
198.852554, 105.752, -66.4831
199.218765, 105.736, -66.4287
199.584976, 105.747, -66.5172
199.951187, 105.761, -66.7936
200.317397, 105.759, -67.1883
200.683608, 105.735, -67.5760
201.049819, 105.698, -67.8653
201.416030, 105.662, -68.0546
201.782241, 105.636, -68.2187
202.148452, 105.617, -68.4389
202.514663, 105.594, -68.7343
202.880874, 105.560, -69.0499
203.247085, 105.522, -69.3074
203.613296, 105.490, -69.4761
203.979507, 105.477, -69.6061
204.345718, 105.480, -69.7916
204.711929, 105.483, -70.0882
205.078140, 105.467, -70.4524
205.444351, 105.421, -70.7541
205.810562, 105.356, -70.8572
206.176773, 105.298, -70.7204
206.542984, 105.272, -70.4498
206.909195, 105.290, -70.2507
207.275406, 105.337, -70.3029
207.641617, 105.389, -70.6564
208.007828, 105.425, -71.2254
208.374039, 105.438, -71.8656
208.740250, 105.435, -72.4675
209.106461, 105.427, -73.0018
209.472672, 105.418, -73.4966
209.838883, 105.401, -73.9785
210.205094, 105.372, -74.4341
210.571305, 105.331, -74.8270
210.937516, 105.286, -75.1475
211.303726, 105.247, -75.4422
211.669937, 105.215, -75.7880
212.036148, 105.181, -76.2241
212.402359, 105.132, -76.7032
212.768570, 105.066, -77.1049
213.134781, 104.990, -77.3047
213.500992, 104.924, -77.2524
213.867203, 104.886, -77.0034
214.233414, 104.881, -76.6841
214.599625, 104.903, -76.4177
214.965836, 104.939, -76.2742
215.332047, 104.978, -76.2711
215.698258, 105.016, -76.4036
216.064469, 105.049, -76.6659
216.430680, 105.077, -77.0486
216.796891, 105.099, -77.5264
217.163102, 105.113, -78.0584
217.529313, 105.122, -78.6046
217.895524, 105.130, -79.1447
218.261735, 105.138, -79.6800
218.627946, 105.141, -80.2180
218.994157, 105.138, -80.7541
219.360368, 105.123, -81.2689
219.726579, 105.100, -81.7430
220.092790, 105.072, -82.1740
220.459001, 105.044, -82.5797
220.825212, 105.016, -82.9847
221.191423, 104.987, -83.4033
221.557634, 104.956, -83.8311
221.923845, 104.921, -84.2531
222.290056, 104.883, -84.6544
222.656266, 104.843, -85.0269
223.022477, 104.800, -85.3663
223.388688, 104.755, -85.6685
223.754899, 104.710, -85.9306
224.121110, 104.669, -86.1572
224.487321, 104.636, -86.3654
224.853532, 104.614, -86.5839
225.219743, 104.604, -86.8471
225.585954, 104.602, -87.1864
225.952165, 104.605, -87.6205
226.318376, 104.604, -88.1462
226.684587, 104.593, -88.7325
227.050798, 104.566, -89.3257
227.417009, 104.526, -89.8693
227.783220, 104.479, -90.3320
228.149431, 104.431, -90.7269
228.515642, 104.386, -91.1024
228.881853, 104.340, -91.5068
229.248064, 104.285, -91.9518
229.614275, 104.215, -92.4028
229.980486, 104.132, -92.8052
230.346697, 104.044, -93.1257
230.712908, 103.960, -93.3770
231.079119, 103.887, -93.6079
231.445330, 103.825, -93.8713
231.811541, 103.770, -94.1962
232.177752, 103.715, -94.5849
232.543963, 103.654, -95.0229
232.910174, 103.582, -95.4806
233.276385, 103.489, -95.9016
233.642595, 103.371, -96.1963
234.008806, 103.234, -96.2664
234.375017, 103.092, -96.0587
234.741228, 102.963, -95.6121
235.107439, 102.858, -95.0466
235.473650, 102.774, -94.4850
235.839861, 102.702, -93.9705
236.206072, 102.641, -93.4645
236.572283, 102.604, -92.9368
236.938494, 102.612, -92.4712
237.304705, 102.669, -92.2693
237.670916, 102.748, -92.5168
238.037127, 102.799, -93.2159
238.403338, 102.778, -94.1260
238.769549, 102.670, -94.8462
239.135760, 102.505, -94.9933
239.501971, 102.347, -94.4108
239.868182, 102.265, -93.3051
240.234393, 102.285, -92.1634
240.600604, 102.378, -91.4472
240.966815, 102.479, -91.3223
241.333026, 102.534, -91.6310
241.699237, 102.521, -92.0473
242.065448, 102.454, -92.2585
242.431659, 102.370, -92.0967
242.797870, 102.308, -91.5884
243.164081, 102.290, -90.9098
243.530292, 102.313, -90.2711
243.896503, 102.358, -89.8054
244.262714, 102.402, -89.5264
244.628925, 102.432, -89.3635
244.995135, 102.449, -89.2324
245.361346, 102.465, -89.0957
245.727557, 102.491, -88.9825
246.093768, 102.529, -88.9541
246.459979, 102.571, -89.0413
246.826190, 102.604, -89.2026
247.192401, 102.623, -89.3361
247.558612, 102.633, -89.3391
247.924823, 102.650, -89.1779
248.291034, 102.684, -88.9160
248.657245, 102.740, -88.6755
249.023456, 102.804, -88.5558
249.389667, 102.862, -88.5714
249.755878, 102.904, -88.6532
250.122089, 102.933, -88.7043
250.488300, 102.964, -88.6679
250.854511, 103.014, -88.5638
251.220722, 103.092, -88.4745
251.586933, 103.195, -88.4948
251.953144, 103.310, -88.6826
252.319355, 103.422, -89.0402
252.685566, 103.519, -89.5256
253.051777, 103.596, -90.0779
253.417988, 103.654, -90.6424
253.784199, 103.701, -91.1898
254.150410, 103.743, -91.7291
254.516621, 103.788, -92.3031
254.882832, 103.833, -92.9633
255.249043, 103.870, -93.7316
255.615254, 103.888, -94.5713
255.981465, 103.880, -95.3904
256.347675, 103.852, -96.0836
256.713886, 103.816, -96.5920
257.080097, 103.790, -96.9455
257.446308, 103.782, -97.2528
257.812519, 103.787, -97.6340
258.178730, 103.789, -98.1432
258.544941, 103.772, -98.7357
258.911152, 103.733, -99.3032
259.277363, 103.681, -99.7471
259.643574, 103.633, -100.0431
260.009785, 103.605, -100.2536
260.375996, 103.596, -100.4792
260.742207, 103.596, -100.7860
261.108418, 103.593, -101.1672
261.474629, 103.581, -101.5629
261.840840, 103.561, -101.9161
262.207051, 103.543, -102.2182
262.573262, 103.533, -102.5125
262.939473, 103.526, -102.8547
263.305684, 103.515, -103.2642
263.671895, 103.491, -103.7059
264.038106, 103.452, -104.1132
264.404317, 103.404, -104.4358
264.770528, 103.359, -104.6768
265.136739, 103.325, -104.8949
265.502950, 103.302, -105.1687
265.869161, 103.283, -105.5482
266.235372, 103.259, -106.0248
