* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 2-B, Pro Tools Audio Bridge 2-B, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2024 1:23:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test NAM Dec 11
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
123.779305, 108.740, 55.4915
124.145516, 108.752, 54.5976
124.511727, 108.764, 53.7073
124.877938, 108.778, 52.8212
125.244149, 108.792, 51.9376
125.610360, 108.808, 51.0519
125.976571, 108.826, 50.1596
126.342782, 108.844, 49.2580
126.708993, 108.861, 48.3487
127.075204, 108.878, 47.4363
127.441415, 108.893, 46.5263
127.807626, 108.909, 45.6230
128.173837, 108.924, 44.7286
128.540048, 108.940, 43.8429
128.906259, 108.958, 42.9638
129.272470, 108.978, 42.0881
129.638681, 108.998, 41.2125
130.004892, 109.019, 40.3358
130.371103, 109.039, 39.4595
130.737314, 109.058, 38.5876
131.103525, 109.077, 37.7233
131.469736, 109.097, 36.8658
131.835947, 109.118, 36.0102
132.202158, 109.140, 35.1492
132.568369, 109.162, 34.2790
132.934579, 109.183, 33.4017
133.300790, 109.203, 32.5250
133.667001, 109.221, 31.6571
134.033212, 109.237, 30.8016
134.399423, 109.253, 29.9554
134.765634, 109.269, 29.1115
135.131845, 109.284, 28.2638
135.498056, 109.297, 27.4116
135.864267, 109.307, 26.5593
136.230478, 109.316, 25.7129
136.596689, 109.324, 24.8760
136.962900, 109.332, 24.0473
137.329111, 109.340, 23.2230
137.695322, 109.346, 22.3995
138.061533, 109.350, 21.5772
138.427744, 109.351, 20.7603
138.793955, 109.349, 19.9547
139.160166, 109.343, 19.1649
139.526377, 109.337, 18.3909
139.892588, 109.331, 17.6281
140.258799, 109.325, 16.8705
140.625010, 109.318, 16.1143
140.991221, 109.310, 15.3601
141.357432, 109.299, 14.6127
141.723643, 109.287, 13.8774
142.089854, 109.272, 13.1551
142.456065, 109.257, 12.4408
142.822276, 109.241, 11.7252
143.188487, 109.225, 11.0005
143.554698, 109.207, 10.2660
143.920909, 109.187, 9.5288
144.287119, 109.164, 8.8006
144.653330, 109.141, 8.0909
145.019541, 109.117, 7.4026
145.385752, 109.096, 6.7309
145.751963, 109.077, 6.0685
146.118174, 109.059, 5.4100
146.484385, 109.042, 4.7554
146.850596, 109.025, 4.1084
147.216807, 109.008, 3.4726
147.583018, 108.991, 2.8486
147.949229, 108.976, 2.2334
148.315440, 108.961, 1.6223
148.681651, 108.946, 1.0111
149.047862, 108.930, 0.3979
149.414073, 108.913, -0.2173
149.780284, 108.895, -0.8329
150.146495, 108.875, -1.4462
150.512706, 108.856, -2.0538
150.878917, 108.836, -2.6534
151.245128, 108.818, -3.2449
151.611339, 108.801, -3.8323
151.977550, 108.787, -4.4219
152.343761, 108.775, -5.0200
152.709972, 108.763, -5.6292
153.076183, 108.751, -6.2473
153.442394, 108.738, -6.8693
153.808605, 108.724, -7.4911
154.174816, 108.710, -8.1121
154.541027, 108.696, -8.7352
154.907238, 108.683, -9.3631
155.273448, 108.669, -9.9962
155.639659, 108.654, -10.6306
156.005870, 108.637, -11.2610
156.372081, 108.621, -11.8834
156.738292, 108.604, -12.4971
157.104503, 108.588, -13.1043
157.470714, 108.572, -13.7083
157.836925, 108.556, -14.3116
158.203136, 108.540, -14.9156
158.569347, 108.523, -15.5211
158.935558, 108.504, -16.1285
159.301769, 108.484, -16.7375
159.667980, 108.462, -17.3467
160.034191, 108.438, -17.9537
160.400402, 108.412, -18.5565
